,implementation,processors amount,iteration limit,execution time (seconds),speedup,efficiency
74,OMP (dynamic),4,10000,10.944466666666665,2.771543611078963,0.9238478703596543
75,OMP (dynamic),4,100000,112.198,2.6946202249594466,0.8982067416531488
76,OMP (dynamic),8,100,0.12720833333333334,3.247470684572552,0.811867671143138
77,OMP (dynamic),8,1000,1.029499333333333,3.053633189984258,0.7634082974960645
78,OMP (dynamic),8,10000,10.349333333333334,2.9309198660139137,0.7327299665034784
79,OMP (dynamic),8,100000,109.76966666666668,2.754230828796054,0.6885577071990135
80,OMP (guided),1,100,0.41555133333333333,0.994113843937452,0.994113843937452
81,OMP (guided),1,1000,3.1448066666666663,0.9996523368686151,0.9996523368686151
82,OMP (guided),1,10000,30.478566666666666,0.9952261534608474,0.9952261534608474
83,OMP (guided),1,100000,304.747,0.9920721122767409,0.9920721122767409
84,OMP (guided),2,100,0.2436596666666667,1.6954194306539587,0.8477097153269794
85,OMP (guided),2,1000,1.7778066666666668,1.7683100149622566,0.8841550074811283
86,OMP (guided),2,10000,16.787533333333332,1.80688050259518,0.90344025129759
87,OMP (guided),2,100000,173.58799999999997,1.7416584095674816,0.8708292047837408
88,OMP (guided),4,100,0.156674,2.6367191322959354,0.8789063774319784
89,OMP (guided),4,1000,1.31625,2.3883861981639756,0.7961287327213252
90,OMP (guided),4,10000,13.275333333333334,2.2849193993873347,0.7616397997957782
91,OMP (guided),4,100000,137.14166666666665,2.2045160114237103,0.7348386704745701
92,OMP (guided),8,100,0.13759533333333335,3.0023208151439245,0.7505802037859811
93,OMP (guided),8,1000,1.0871166666666667,2.8917902095757886,0.7229475523939471
94,OMP (guided),8,10000,10.850466666666668,2.7955541082718405,0.6988885270679601
95,OMP (guided),8,100000,116.90433333333333,2.586140234322651,0.6465350585806627
